P (kPa),rho_f (kg/m^3),rho_g (kg/m^3),mu_f,mu_g
114.5,999.6,1.404,0.001269,1.782E-05
114.7,999.6,1.406,0.001269,1.782E-05
111.6,999.6,1.368,0.001269,1.782E-05
110.1,999.6,1.35,0.001269,1.782E-05
109.2,999.6,1.339,0.001269,1.782E-05
107,999.6,1.312,0.001269,1.782E-05
106.4,999.6,1.304,0.001269,1.782E-05
105.2,999.6,1.29,0.001269,1.782E-05
110.3,999.6,1.352,0.001269,1.782E-05
110.7,999.6,1.357,0.001269,1.782E-05
106.7,999.6,1.308,0.001269,1.782E-05
107.6,999.6,1.319,0.001269,1.782E-05
105.3,999.6,1.291,0.001269,1.782E-05
103.4,999.6,1.268,0.001269,1.782E-05
103.2,999.6,1.265,0.001269,1.782E-05
101.9,999.6,1.249,0.001269,1.782E-05
109.3,999.6,1.34,0.001269,1.782E-05
108.9,999.6,1.335,0.001269,1.782E-05
107.2,999.6,1.314,0.001269,1.782E-05
107.1,999.6,1.313,0.001269,1.782E-05
106,999.6,1.3,0.001269,1.782E-05
106.6,999.6,1.307,0.001269,1.782E-05
104.8,999.6,1.285,0.001269,1.782E-05
104.7,999.6,1.284,0.001269,1.782E-05
107.1,999.6,1.313,0.001269,1.782E-05
106.7,999.6,1.308,0.001269,1.782E-05
106.6,999.6,1.307,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
103.1,999.6,1.264,0.001269,1.782E-05
102.9,999.6,1.262,0.001269,1.782E-05
102.8,999.6,1.26,0.001269,1.782E-05
102.7,999.6,1.259,0.001269,1.782E-05
123.8,999.6,1.518,0.001269,1.782E-05
120.7,999.6,1.48,0.001269,1.782E-05
117.7,999.6,1.443,0.001269,1.782E-05
116.3,999.6,1.426,0.001269,1.782E-05
114.9,999.6,1.409,0.001269,1.782E-05
113.5,999.6,1.392,0.001269,1.782E-05
112.3,999.6,1.377,0.001269,1.782E-05
110.8,999.6,1.358,0.001269,1.782E-05
109.7,999.6,1.345,0.001269,1.782E-05
120.8,999.6,1.481,0.001269,1.782E-05
117.8,999.6,1.444,0.001269,1.782E-05
116.4,999.6,1.427,0.001269,1.782E-05
115,999.6,1.41,0.001269,1.782E-05
113.6,999.6,1.393,0.001269,1.782E-05
112.3,999.6,1.377,0.001269,1.782E-05
109.2,999.6,1.339,0.001269,1.782E-05
107.8,999.6,1.322,0.001269,1.782E-05
106.6,999.6,1.307,0.001269,1.782E-05
117.7,999.6,1.443,0.001269,1.782E-05
116.4,999.6,1.427,0.001269,1.782E-05
115,999.6,1.41,0.001269,1.782E-05
113.6,999.6,1.393,0.001269,1.782E-05
110.5,999.6,1.355,0.001269,1.782E-05
109.1,999.6,1.338,0.001269,1.782E-05
107.7,999.6,1.32,0.001269,1.782E-05
108,999.6,1.324,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
115,999.6,1.41,0.001269,1.782E-05
113.6,999.6,1.393,0.001269,1.782E-05
112.2,999.6,1.376,0.001269,1.782E-05
110.6,999.6,1.356,0.001269,1.782E-05
109.2,999.6,1.339,0.001269,1.782E-05
107.8,999.6,1.322,0.001269,1.782E-05
106.4,999.6,1.304,0.001269,1.782E-05
106.7,999.6,1.308,0.001269,1.782E-05
103.7,999.6,1.271,0.001269,1.782E-05
112,999.6,1.373,0.001269,1.782E-05
110.5,999.6,1.355,0.001269,1.782E-05
109.1,999.6,1.338,0.001269,1.782E-05
109.4,999.6,1.341,0.001269,1.782E-05
107.9,999.6,1.323,0.001269,1.782E-05
106.5,999.6,1.306,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
105.3,999.6,1.291,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
109,999.6,1.336,0.001269,1.782E-05
107.6,999.6,1.319,0.001269,1.782E-05
107.9,999.6,1.323,0.001269,1.782E-05
106.3,999.6,1.303,0.001269,1.782E-05
104.9,999.6,1.286,0.001269,1.782E-05
105.2,999.6,1.29,0.001269,1.782E-05
103.7,999.6,1.271,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
113.3,999.6,1.389,0.001269,1.782E-05
111.9,999.6,1.372,0.001269,1.782E-05
112.1,999.6,1.374,0.001269,1.782E-05
110.7,999.6,1.357,0.001269,1.782E-05
109.3,999.6,1.34,0.001269,1.782E-05
109.6,999.6,1.344,0.001269,1.782E-05
108.1,999.6,1.325,0.001269,1.782E-05
106.7,999.6,1.308,0.001269,1.782E-05
110.5,999.6,1.355,0.001269,1.782E-05
109.1,999.6,1.338,0.001269,1.782E-05
107.6,999.6,1.319,0.001269,1.782E-05
107.8,999.6,1.322,0.001269,1.782E-05
106.3,999.6,1.303,0.001269,1.782E-05
106.6,999.6,1.307,0.001269,1.782E-05
106.8,999.6,1.309,0.001269,1.782E-05
105.3,999.6,1.291,0.001269,1.782E-05
109.3,999.6,1.34,0.001269,1.782E-05
107.8,999.6,1.322,0.001269,1.782E-05
106.2,999.6,1.302,0.001269,1.782E-05
106.4,999.6,1.304,0.001269,1.782E-05
106.6,999.6,1.307,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
105.3,999.6,1.291,0.001269,1.782E-05
103.8,999.6,1.273,0.001269,1.782E-05
106.4,999.6,1.304,0.001269,1.782E-05
104.8,999.6,1.285,0.001269,1.782E-05
105,999.6,1.287,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
103.6,999.6,1.27,0.001269,1.782E-05
103.7,999.6,1.271,0.001269,1.782E-05
103.9,999.6,1.274,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
105.1,999.6,1.289,0.001269,1.782E-05
103.4,999.6,1.268,0.001269,1.782E-05
103.5,999.6,1.269,0.001269,1.782E-05
103.7,999.6,1.271,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
101.4,999.6,1.243,0.001269,1.782E-05
